"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese",
"STR_BC_VictrixCorvoCS_N","Victrix Corvo C.S.","Victrix Corvo C.S.","Victrix Corvo C.S.","Victrix Corvo C.S.","Виктрикс Корво.","Victrix Corvo C.S.","Victrix Corvo C.S.","Victrix Corvo C.S.","Victrix Corvo C.S.","Victrix Corvo C.S.","Victrix Corvo C. S. (美国英语).","ヴィクトレックス・コルボC.S.","Victrix Corvo C.S.",
"STR_BC_VictrixCorvoCS_N_B","Victrix Corvo C.S. | Black","Victrix Corvo C.S. | Black","Victrix Corvo C.S. PHARMAN124; černá","Victrix Corvo C.S. | Schwarz","Victrix Corvo C.S. Черный","Victrix Corvo C.S., 124; czarny","Victrix Corvo C.S. - 124; fekete","Victrix Corvo C.S. | Nero","Victrix Corvo C.S.","Victrix Corvo Noir","Victrix Corvo C.S. {黑色〕","ヴィクトレックス・コルボ C.S. | ブラック","Victrix Corvo C.S.",
"STR_BC_VictrixCorvoCS_D","The VICTRIX Corvo C.S. (Compact System) is an ultra-compact, high-performance .50 BMG anti-materiel/sniper rifle designed for extreme portability in urban or tight spaces, featuring an 18' fluted barrel, folding stock, monolithic chassis, and an integrated suppressor system for managing intense recoil, making it highly maneuverable yet powerful for long-range precision tasks.","The VICTRIX Corvo C.S. (Compact System) is an ultra-compact, high-performance .50 BMG anti-materiel/sniper rifle designed for extreme portability in urban or tight spaces, featuring an 18' fluted barrel, folding stock, monolithic chassis, and an integrated suppressor system for managing intense recoil, making it highly maneuverable yet powerful for long-range precision tasks.","VICTRIX Corvo C.S. (Compact System) je ultrakompaktní, vysoce výkonná antimateriální / odstřelovací puška .50 BMG určená pro extrémní přenositelnost v městských nebo úzkých prostorech, s 18 'plynným barelem, sklápěcím zásobníkem, monolitickým podvozkem a integrovaným tlumicím systémem pro řízení intenzivní rekoil, takže je vysoce manévrovatelná, ale výkonná pro přesné úkoly dlouhého dosahu.","Das VICTRIX Corvo C.S. (Compact System) ist ein ultrakompaktes, leistungsstarkes .50 BMG Anti-materiel/Sniper-Gewehr, das für extreme Portabilität in urbanen oder engen Räumen konzipiert ist, mit einem 18' gefiffelten Lauf, Falten, monolithischen Chassis und einem integrierten Suppressor-System zur Steuerung intensiven Rückstoßes, wodurch es sehr manövrierbar und leistungsstark für anspruchsvolle Präzisionsaufgaben.","VICTRIX Corvo C.S. (Compact System) - это ультракомпактная, высокопроизводительная противоснайперская винтовка .50 BMG, предназначенная для экстремальной портативности в городских или узких пространствах, оснащенная 18-дюймовым стволом, складным запасом, монолитным шасси и интегрированной системой подавления для управления интенсивной отдачей, что делает ее высокоманевренной, но мощной для высокоточных задач на большие расстояния.","VICTRIX Corvo C.S. (Compact System) jest ultra-kompaktowym, wysokowydajnym karabinem antymateriałowym / snajperskim BMG .50 BMG przeznaczonym do ekstremalnego przenoszenia w przestrzeniach miejskich lub ciasnych, wyposażonym w 18 'płynną lufę, składany stos, monolityczne podwozie oraz zintegrowany system tłumiący do zarządzania intensywnym odrzutem, co czyni go wysoce zwrotnym, a jednocześnie wydajnym do zadań precyzyjnych dalekiego zasięgu.","A VICTRIX Corvo C.S. (Compact System) egy ultra-kompakt, magas teljesítményű .50 BMG anti- materiel / mesterlövész puska, amelyet a városi vagy szűk terekben történő extrém hordozhatóság érdekében terveztek, amely egy 18 'hajtású hordó, összecsukható állomány, monolitikus alváz és egy integrált szupresszor rendszer az intenzív visszapattanás kezelésére, így nagymértékben manőverezhető, de mégis hatékony hosszú távú precíziós feladatokhoz.","Il VICTRIX Corvo C.S. (Compact System) è un fucile anti-materiel/sniper da 50 BMG ultracompatto e ad alte prestazioni, progettato per una portabilità estrema in spazi urbani o stretti, dotato di un barile scanalato da 18', un magazzino pieghevole, un telaio monolitico, e un sistema di soppressore integrato per la gestione di un rinculo intenso, che lo rende altamente manovrabile ma potente per compiti di precisione a lungo raggio.","El VICTRIX Corvo C.S. (Sistema Compacto) es un rifle anti-materiel/sniper ultracompacto y de alto rendimiento .50 BMG diseñado para la portabilidad extrema en espacios urbanos o estrechos, con un cañón de 18', carcasa plegable, chasis monolítica y un sistema de supresores integrado para la gestión del retroceso intenso, lo que hace tareas altamente maniobrables y potentes para la precisión.","Le VICTRIX Corvo C.S. (Compact System) est un fusil anti-matériel/sniper ultra-compact et ultra-performant de 50 BMG conçu pour une portabilité extrême dans les espaces urbains ou serrés, doté d'un canon cannelé de 18', d'un support pliant, d'un châssis monolithique et d'un système de suppression intégré pour gérer un recul intense, ce qui le rend très maniable mais puissant pour des tâches de précision à longue portée.","VICTRIX Corvo C.S. (Compact System)是一款特制,高性能的.50 BMG反物质/狙击步枪,为城市或紧凑空间的极端可携带性所设计,其特点是一款18'的笛管,折叠存量,单晶底盘,以及管理强烈后坐力的综合抑制系统,使其具有高度可操纵性,但又能出众,用于远程精确任务.","VICTRIX Corvo C.S.(Compact System)は、超コンパクトで高性能な.50 BMGアンチマトリル/スナイパーのライフルで、都市やタイトなスペースの極端なポータビリティのために設計されており、18'のフルートバレル、フォールディングストック、モノリシックなシャーシ、および強烈なリコイルを管理するための統合された抑制システムを備え、長距離の精密タスクのために非常に操縦可能で強力です。","O VICTRIX Corvo C.S. (Sistema de Compacto) é um rifle anti-materiel/sniper .50 BMG ultra-compacto e de alto desempenho projetado para uma portabilidade extrema em espaços urbanos ou apertados, com um barril de 18', um estoque dobrável, chassis monolíticos e um sistema supressor integrado para gerenciar um recuo intenso, tornando-o altamente manobrável, mas poderoso para tarefas de precisão de longo alcance.",
"STR_BC_VictrixCorvoCS_Magazine_N","7rd Victrix Corvo C.S. Magazine","7rd Victrix Corvo Magazine","7. ročník časopisu Victrix Corvo","7. Victrix Corvo Magazin","7-й журнал Victrix Corvo","7rd Victrix Corvo Magazine","7rd Victrix Corvo Magazine","7a rivista Victrix Corvo","7th Victrix Corvo Magazine","7e magazine Victrix Corvo","第七本Victrix Corvo杂志","7rd Victrix Corvoマガジン","7a Revista Victrix Corvo",
"STR_BC_VictrixCorvoCS_Magazine_D","7 .50 BMG Rounds Magazine for the Victrix Corvo C.S.","7 .50 BMG Rounds Magazine for the Victrix Corvo C.S.","7 .50 BMG Rounds Magazine for the Victrix Corvo C.S.","7.50 BMG Rounds Magazine für das Victrix Corvo C.S.","7.50 BMG Rounds Magazine для Victrix Corvo C.S.","7. 50 BMG Rounds Magazine for the Victrix Corvo C.S.","7 .50 BMG Rounds Magazine for the Victrix Corvo C.S.","7 .50 BMG Rounds Magazine per la Victrix Corvo C.S.","7 .50 BMG Rounds Magazine for the Victrix Corvo C.S.","7 .50 BMG Rounds Magazine pour le Victrix Corvo C.S.","7.50 BMG Rounds Magazine for the Victrix Corvo C.S.","7 .50 BMGラウンド ヴィクトリクスコルボC.Sの雑誌.","7 .50 BMG Rounds Magazine para o Victrix Corvo C.S.",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_Sabatti_N","Sabatti","Sabatti","Sabatti","Ich weiß nicht.","Сабатти","Sabatti","Sabatti","Sabatti","Sabatti","Sabatti","萨巴蒂","サバッティ","Sabatti",
"STR_BC_Sabatti_N_R","Sabatti | Red","Sabatti | Red","Sabatti Ibrahim 124; červená","Sabatti | Rot","Сабатти Красный","Sabatti Nether124; Czerwony","Sabatthagen 124; Red","Sabatti | Red","Sabatti ← Red","Sabatti, rouge","红色","Sabatti | レッド","Sabatti",
"STR_BC_Sabatti_N_W","Sabatti | White","Sabatti | White","Sabatti Dublin 124; White","Sabatti | Weiß","Сабатти Белый","Sabatti Nether124; White","Sabattha124; fehér","Sabatti | Bianco","Sabatti ← Blanco","Blanc","萨巴蒂·怀特","サバッティ | 白","Sabatti",
"STR_BC_Sabatti_N_B","Sabatti | Black","Sabatti | Black","Sabatti Dublin 124; Black","Sabatti | Schwarz","Сабатти Чёрный","Sabatti Nether124; Black","Sabattha124; fekete","Sabatti | Nero","Sabatti ← Negro","Noir","萨巴蒂·黑","サバッティ | 黒","Sabatti",
